BenchMark::doResolutionInterview(AutoRef<DFCPrimaryWindow>,bool)	.text	00401000	00001477	00000060	0000000C	R	.	.	.	.	B	.	.
PropertyUnitDescPoisonResist::getFixed32(DFCObject *)	.text	004C22A0	00000015	00000004	00000008	R	.	.	.	.	B	.	.
PropertyUnitDescPoisonResist::getName(void)	.text	004C22C0	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescFearResist::PropertyUnitDescFearResist(void)	.text	004C2300	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyRPGSettingsRangedDamagePerAgility::getFixed32(DFCObject *)	.text	004C2410	00000015	00000004	00000008	R	.	.	.	.	B	.	.
PropertyUnitDescFearResist::getName(void)	.text	004C2430	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescDivineResist::PropertyUnitDescDivineResist(void)	.text	004C2470	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyRPGSettingsAttackRatingPerAgility::getFixed32(DFCObject *)	.text	004C2580	00000015	00000004	00000008	R	.	.	.	.	B	.	.
PropertyUnitDescDivineResist::getName(void)	.text	004C25A0	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescMaxHealth::PropertyUnitDescMaxHealth(void)	.text	004C25E0	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescMaxHealth::getFixed32(DFCObject *)	.text	004C26F0	00000015	00000004	00000008	R	.	.	.	.	B	.	.
PropertyHealthModifierDescMaxHealth::getName(void)	.text	004C2710	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescMaxMana::PropertyUnitDescMaxMana(void)	.text	004C2750	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescMaxMana::getFixed32(DFCObject *)	.text	004C2860	00000015	00000004	00000008	R	.	.	.	.	B	.	.
PropertyUnitDescMaxMana::getName(void)	.text	004C2880	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescHealthRegen::PropertyUnitDescHealthRegen(void)	.text	004C28C0	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyRPGSettingsItemIntellectPerLevel::getFixed32(DFCObject *)	.text	004C29D0	00000015	00000004	00000008	R	.	.	.	.	B	.	.
PropertyUnitDescHealthRegen::getName(void)	.text	004C29F0	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescManaRegen::PropertyUnitDescManaRegen(void)	.text	004C2A30	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescManaRegen::getFixed32(DFCObject *)	.text	004C2B40	00000015	00000004	00000008	R	.	.	.	.	B	.	.
PropertyUnitDescManaRegen::getName(void)	.text	004C2B60	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescMeleeAttackSpeedMod::PropertyUnitDescMeleeAttackSpeedMod(void)	.text	004C2BA0	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescMeleeAttackSpeedMod::asInt(DFCObject *)	.text	004C2CB0	00000010	00000004	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescMeleeAttackSpeedMod::getName(void)	.text	004C2CC0	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescRangeAttackSpeedMod::PropertyUnitDescRangeAttackSpeedMod(void)	.text	004C2D00	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescRangeAttackSpeedMod::getName(void)	.text	004C2E10	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescMagicDamageMod::PropertyUnitDescMagicDamageMod(void)	.text	004C2E50	00000129	00000028	00000004	R	.	.	.	.	B	T	.
PropertyNonCombatInteractiveEncounterLevelMod::asInt(DFCObject *)	.text	004C2F60	00000010	00000004	00000004	R	.	.	.	.	B	T	.
PropertyUnitDescMagicDamageMod::getName(void)	.text	004C2F70	00000031	00000010	00000004	R	.	.	.	.	B	T	.
DoorsToOpenOnDeathUnitDescDoorsToOpenOnDeath::DoorsToOpenOnDeathUnitDescDoorsToOpenOnDeath(void)	.text	004C2FB0	00000129	00000028	00000004	R	.	.	.	.	B	T	.
WorldEntityTableWorldWorldEntityTable::asString(DFCObject *)	.text	004C30C0	00000059	00000010	00000008	R	.	.	.	.	B	T	.
DoorsToOpenOnDeathUnitDescDoorsToOpenOnDeath::getName(void)	.text	004C3120	00000031	00000010	00000004	R	.	.	.	.	B	T	.
UnitDesc::UnitDesc(void)	.text	004C3160	000001B0	00000014	00000004	R	.	.	.	.	B	T	.
UnitDesc::getAttackSpeed(uchar)	.text	004C32F0	00000054	00000010	00000000	R	.	.	.	.	B	T	.
UnitDesc::getAttackRating(uchar)	.text	004C3350	0000006E	00000014	00000001	R	.	.	.	.	B	T	.
UnitDesc::getDefenseRating(uchar)	.text	004C33C0	0000006E	00000014	00000001	R	.	.	.	.	B	T	.
UnitDesc::getDamageMod(uchar)	.text	004C3430	0000004C	0000000C	00000000	R	.	.	.	.	B	T	.
HeroDesc::getMaxMana(uchar)	.text	004C3480	00000006	00000000	00000000	R	.	.	.	.	.	T	.
UnitDesc::getCriticalChance(uchar)	.text	004C3490	00000054	00000010	00000000	R	.	.	.	.	B	T	.
UnitDesc::getStunMod(uchar)	.text	004C34F0	00000054	00000010	00000000	R	.	.	.	.	B	T	.
UnitDesc::getStunResist(uchar)	.text	004C3550	00000054	00000010	00000000	R	.	.	.	.	B	T	.
UnitDesc::getMaxHealth(uchar)	.text	004C35B0	0000006F	00000010	00000001	R	.	.	.	.	B	T	.
UnitDesc::getMaxMana(uchar)	.text	004C3620	00000015	00000000	00000000	R	.	.	.	.	.	T	.
UnitDesc::getHealthRegen(uchar)	.text	004C3640	00000054	00000010	00000000	R	.	.	.	.	B	T	.
UnitDesc::getManaRegen(uchar)	.text	004C36A0	00000054	00000010	00000000	R	.	.	.	.	B	T	.
UnitDesc::getFireResist(uchar)	.text	004C3700	0000006F	00000010	00000001	R	.	.	.	.	B	T	.
UnitDesc::getIceResist(uchar)	.text	004C3770	0000006F	00000010	00000001	R	.	.	.	.	B	T	.
UnitDesc::getPoisonResist(uchar)	.text	004C37E0	0000006F	00000010	00000001	R	.	.	.	.	B	T	.
UnitDesc::getShadowResist(uchar)	.text	004C3850	0000006F	00000010	00000001	R	.	.	.	.	B	T	.
UnitDesc::getDivineResist(uchar)	.text	004C38C0	0000006F	00000010	00000001	R	.	.	.	.	B	T	.
UnitDesc::UpdateOpenDoorsOnDeathList(void)	.text	004C3930	0000012B	00000020	00000000	R	.	.	.	.	B	T	.
UnitDesc::OpenDoorsOnDeath(World *)	.text	004C3A50	0000003F	00000008	00000000	R	.	.	.	.	.	T	.
UnitFinder2::ResultSortByDistance(UnitFinder2::Result &,UnitFinder2::Result &)	.text	004C3A90	00000032	00000008	00000008	R	.	.	.	.	B	T	.
UnitFinder2::ResultSortByAggro(UnitFinder2::Result &,UnitFinder2::Result &)	.text	004C3AD0	00000032	00000008	00000008	R	.	.	.	.	B	T	.
UnitFinder2::UnitFinder2(void)	.text	004C3B10	000000A6	00000018	00000004	R	.	.	.	.	B	T	.
UnitFinder2::`vector deleting destructor'(uint)	.text	004C3BA0	00000022	00000008	00000001	R	.	.	.	.	B	T	.
Map<Unit *,List<Unit *> *,std::less<Unit *>>::~Map<Unit *,List<Unit *> *,std::less<Unit *>>(void)	.text	004C3BD0	00000030	0000000C	00000000	R	.	.	.	.	B	.	.
UnitFinder2::~UnitFinder2(void)	.text	004C3C00	000000DD	00000020	00000004	R	.	.	.	.	B	T	.
UnitFinder2::initialize(World *)	.text	004C3CC0	00000145	00000030	00000000	R	.	.	.	.	B	T	.
UnitFinder2::addUnit(Unit *)	.text	004C3DF0	00000086	00000020	00000004	R	.	.	.	.	B	T	.
UnitFinder2::invalidateUnit(Unit *)	.text	004C3E80	000000D9	00000028	00000004	R	.	.	.	.	B	T	.
UnitFinder2::removeUnit(Unit *)	.text	004C3F60	0000003E	00000010	00000004	R	.	.	.	.	B	T	.
UnitFinder2::findUnits(VectorType const &,Fixed32)	.text	004C3FA0	000002AE	00000054	00000008	R	.	.	.	.	B	.	.
UnitFinder2::findAnyPlayer(VectorType2D const &,Fixed32)	.text	004C4250	000001D6	00000038	00000008	R	.	.	.	.	B	.	.
UnitFinder2::findAnyCollidingUnit(Unit *,VectorType2D const &,bool)	.text	004C4430	000002AC	0000004C	0000000D	R	.	.	.	.	B	T	.
UnitFinder2::findAnyCollidingEnemy(Unit *,VectorType2D const &)	.text	004C46E0	00000296	00000044	0000000C	R	.	.	.	.	B	T	.
UnitFinder2::findEnemies(Unit *,VectorType const &,Fixed32,bool)	.text	004C4980	0000046C	0000004C	00000014	R	.	.	.	.	B	.	.
UnitFinder2::findEnemies(Unit *,BoundingBox const &)	.text	004C4DF0	00000303	0000006C	0000000C	R	.	.	.	.	B	T	.
UnitFinder2::findFriends(Unit *,VectorType,Fixed32)	.text	004C5100	000002C2	00000054	00000018	R	.	.	.	.	B	.	.
UnitFinder2::findFriendCorpses(Unit *,VectorType,Fixed32)	.text	004C53D0	000002C2	00000054	00000018	R	.	.	.	.	B	.	.
UnitFinder2::trimByLOS(VectorType const &)	.text	004C56A0	00000186	00000104	00000008	R	.	.	.	.	B	T	.
LOSChecker::~LOSChecker(void)	.text	004C5820	00000007	00000000	00000000	R	.	.	.	.	.	T	.
UnitFinder2::SendEventToResults(Vector<UnitFinder2::Result> &,AutoRef<DFCEvent>)	.text	004C5830	000000A3	0000001C	00000008	R	.	.	.	.	B	.	.
UnitFinder2::notifyFriends(AutoRef<DFCEvent>,Unit *,VectorType,Fixed32)	.text	004C58D0	000002B2	00000068	0000001C	R	.	.	.	.	B	.	.
Map<Unit *,List<Unit *> *,std::less<Unit *>>::put(Unit * const &,List<Unit *> * const &)	.text	004C5B70	00000031	00000018	00000004	R	.	.	.	.	B	.	.
std::vector<GroupClient::Invitation>::size(void)	.text	004C5BB0	0000001E	00000000	00000000	R	.	.	.	.	.	T	.
List<int>::List<int>(void)	.text	004C5BD0	00000016	00000004	00000000	R	.	.	.	.	.	T	.
std::_Tree<std::_Tmap_traits<Unit *,List<Unit *> *,std::less<Unit *>,std::allocator<std::pair<Unit * const,List<Unit *> *>>,0>>::erase(Unit * const &)	.text	004C5BF0	0000004E	0000001C	00000004	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<Unit *,List<Unit *> *,std::less<Unit *>,std::allocator<std::pair<Unit * const,List<Unit *> *>>,0>>::_Erase(std::_Tree_nod<std::_Tmap_traits<Unit *,List<Unit *> *,std::less<Unit *>,std::allocator<std::pair<Unit * const,List<Unit *> *>>,0>>::_Node *)	.text	004C5C40	00000038	00000010	00000004	R	.	.	.	.	B	T	.
std::vector<Vector3>::push_back(Vector3 const &)	.text	004C5C80	0000007D	00000010	00000000	R	.	.	.	.	B	.	.
std::vector<UnitFinder2::Result>::erase(std::vector<UnitFinder2::Result>::iterator)	.text	004C5D00	00000054	00000008	0000000C	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<Unit *,List<Unit *> *,std::less<Unit *>,std::allocator<std::pair<Unit * const,List<Unit *> *>>,0>>::erase(std::_Tree<std::_Tmap_traits<Unit *,List<Unit *> *,std::less<Unit *>,std::allocator<std::pair<Unit * const,List<Unit *> *>>,0>>::iterator,std::_Tree<std::_Tmap_traits<Unit *,List<Unit *> *,std::less<Unit *>,std::allocator<std::pair<Unit * const,List<Unit *> *>>,0>>::iterator)	.text	004C5D60	000000B1	0000000C	0000000C	R	.	.	.	.	B	.	.
std::vector<UnitFinder2::Result>::_Insert_n(std::vector<UnitFinder2::Result>::iterator,uint,UnitFinder2::Result const &)	.text	004C5E20	0000028E	00000030	00000008	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<int,AutoRef<Animation>,std::less<int>,std::allocator<std::pair<int const,AutoRef<Animation>>>,0>>::const_iterator::_Inc(void)	.text	004C60B0	0000004B	00000000	00000000	R	.	.	.	.	.	.	.
std::fill<UnitFinder2::Result *,UnitFinder2::Result>(UnitFinder2::Result *,UnitFinder2::Result *,UnitFinder2::Result const &)	.text	004C6100	00000026	00000000	00000000	R	.	.	.	.	.	.	.
std::copy_backward<Vector3 *,Vector3 *>(Vector3 *,Vector3 *,Vector3 *)	.text	004C6130	00000029	00000000	00000000	R	.	.	.	.	.	.	.
std::_Sort<std::vector<UnitFinder2::Result>::iterator,int,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &)>(std::vector<UnitFinder2::Result>::iterator,std::vector<UnitFinder2::Result>::iterator,int,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &))	.text	004C6160	0000012F	00000018	00000010	R	.	.	.	.	B	.	.
std::_Uninit_fill_n<UnitFinder2::Result *,uint,UnitFinder2::Result,std::allocator<UnitFinder2::Result>>(UnitFinder2::Result *,uint,UnitFinder2::Result const &,std::allocator<UnitFinder2::Result> &,std::_Nonscalar_ptr_iterator_tag)	.text	004C6290	0000002B	00000000	00000000	R	.	.	.	.	.	.	.
std::_Unguarded_partition<std::vector<UnitFinder2::Result>::iterator,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &)>(std::vector<UnitFinder2::Result>::iterator,std::vector<UnitFinder2::Result>::iterator,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &))	.text	004C62C0	0000030A	0000006C	00000010	R	.	.	.	.	B	.	.
std::sort_heap<std::vector<UnitFinder2::Result>::iterator,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &)>(std::vector<UnitFinder2::Result>::iterator,std::vector<UnitFinder2::Result>::iterator,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &))	.text	004C65D0	000000A1	0000001C	0000000C	R	.	.	.	.	B	.	.
std::_Insertion_sort<std::vector<UnitFinder2::Result>::iterator,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &)>(std::vector<UnitFinder2::Result>::iterator,std::vector<UnitFinder2::Result>::iterator,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &))	.text	004C6680	00000087	00000008	0000000C	R	.	.	.	.	B	.	.
std::_Uninit_copy<Vector3 *,Vector3 *,std::allocator<Vector3>>(Vector3 *,Vector3 *,Vector3 *,std::allocator<Vector3> &,std::_Nonscalar_ptr_iterator_tag)	.text	004C6710	0000002D	00000000	00000000	R	.	.	.	.	.	.	.
std::_Median<std::vector<UnitFinder2::Result>::iterator,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &)>(std::vector<UnitFinder2::Result>::iterator,std::vector<UnitFinder2::Result>::iterator,std::vector<UnitFinder2::Result>::iterator,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &))	.text	004C6740	000000A7	00000008	0000000C	R	.	.	.	.	B	.	.
std::_Make_heap<std::vector<UnitFinder2::Result>::iterator,int,UnitFinder2::Result,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &)>(std::vector<UnitFinder2::Result>::iterator,std::vector<UnitFinder2::Result>::iterator,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &),int *,UnitFinder2::Result *)	.text	004C67F0	0000006A	00000010	0000000C	R	.	.	.	.	B	.	.
std::_Med3<std::vector<UnitFinder2::Result>::iterator,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &)>(std::vector<UnitFinder2::Result>::iterator,std::vector<UnitFinder2::Result>::iterator,std::vector<UnitFinder2::Result>::iterator,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &))	.text	004C6860	000000CD	0000001C	00000010	R	.	.	.	.	B	.	.
std::_Adjust_heap<std::vector<UnitFinder2::Result>::iterator,int,UnitFinder2::Result,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &)>(std::vector<UnitFinder2::Result>::iterator,int,int,UnitFinder2::Result,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &))	.text	004C6930	000000B8	00000014	00000018	R	.	.	.	.	B	.	.
std::_Push_heap<std::vector<UnitFinder2::Result>::iterator,int,UnitFinder2::Result,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &)>(std::vector<UnitFinder2::Result>::iterator,int,int,UnitFinder2::Result,bool (*)(UnitFinder2::Result &,UnitFinder2::Result &))	.text	004C69F0	00000078	0000000C	00000018	R	.	.	.	.	B	.	.
std::_Rotate<std::vector<UnitFinder2::Result>::iterator,int,UnitFinder2::Result>(std::vector<UnitFinder2::Result>::iterator,std::vector<UnitFinder2::Result>::iterator,std::vector<UnitFinder2::Result>::iterator,int *,UnitFinder2::Result *)	.text	004C6A70	0000011B	0000002C	0000000C	R	.	.	.	.	B	.	.
Vehicle::getClass(void)	.text	004C6B90	00000006	00000000	00000000	R	.	.	.	.	.	T	.
createVehicle(void)	.text	004C6BA0	00000098	00000018	00000000	R	.	.	.	.	B	T	.
_register_class_Vehicle::_register_class_Vehicle(void)	.text	004C6C30	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_reg_gc_class_Vehicle::_reg_gc_class_Vehicle(void)	.text	004C6D70	000001A5	0000002C	00000004	R	.	.	.	.	B	T	.
Vehicle::`scalar deleting destructor'(uint)	.text	004C6EE0	00000022	00000008	00000001	R	.	.	.	.	B	T	.
Vehicle::~Vehicle(void)	.text	004C6F10	00000075	00000014	00000004	R	.	.	.	.	B	T	.
Vehicle::addToWorld(void)	.text	004C6F80	000000C4	00000018	00000000	R	.	.	.	.	B	T	.
Vehicle::setPlayer(Player *)	.text	004C7030	000001C6	00000024	00000000	R	.	.	.	.	B	T	.
Vehicle::onActivated(AutoRef<DFCEvent>)	.text	004C71D0	000000DB	00000018	00000004	R	.	.	.	.	B	.	.
Vehicle::onDead(AutoRef<DFCEvent>)	.text	004C72A0	000000A3	00000018	00000004	R	.	.	.	.	B	.	.
Vehicle::writeInit(DFCMessage *)	.text	004C7340	00000035	00000004	00000004	R	.	.	.	.	B	T	.
Vehicle::readInit(DFCMessage *)	.text	004C7380	00000035	0000000C	00000004	R	.	.	.	.	B	T	.
Vehicle::processRequest(uchar,DFCMessage *,int)	.text	004C73C0	0000002D	00000004	00000008	R	.	.	.	.	B	T	.
Vehicle::processUpdate(uchar,DFCMessage *)	.text	004C73F0	00000048	00000008	00000008	R	.	.	.	.	B	T	.
Vehicle::processLeaveVehicle(AutoRef<DFCMessage>)	.text	004C7440	00000091	00000018	00000004	R	.	.	.	.	B	.	.
Vehicle::playAnimation(int,int,float,float)	.text	004C74C0	000000C8	00000008	00000010	R	.	.	.	.	B	T	.
[thunk]:Vehicle::`vector deleting destructor'`adjustor{104}' (uint)	.text	004C7590	00000008	00000000	00000000	R	.	.	.	.	.	.	.
VehicleDesc::getClass(void)	.text	004C75A0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
createVehicleDesc(void)	.text	004C75B0	00000070	00000014	00000000	R	.	.	.	.	B	T	.
_register_class_VehicleDesc::_register_class_VehicleDesc(void)	.text	004C7610	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_reg_gc_class_VehicleDesc::_reg_gc_class_VehicleDesc(void)	.text	004C7750	00000184	0000002C	00000004	R	.	.	.	.	B	T	.
VehicleDesc::VehicleDesc(void)	.text	004C78A0	0000005A	00000000	00000000	R	.	.	.	.	.	T	.
createAction(void)	.text	004C7900	00000084	00000018	00000000	R	.	.	.	.	B	T	.
_register_class_Action::_register_class_Action(void)	.text	004C7970	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_reg_gc_class_Action::_reg_gc_class_Action(void)	.text	004C7AB0	0000018F	0000002C	00000004	R	.	.	.	.	B	T	.
Action::Registry::registerClass(uchar,DFCClass *)	.text	004C7C00	00000165	00000030	00000008	R	.	.	.	.	B	T	.
Action::Registry::createAction(uchar)	.text	004C7D50	000000AF	0000000C	00000001	R	.	.	.	.	B	.	.
Action::Registry::getClassID(Action *)	.text	004C7E00	00000046	0000000C	00000000	R	.	.	.	.	B	T	.
Action::setBehavior(Behavior *)	.text	004C7E50	0000000D	00000004	00000004	R	.	.	.	.	B	T	.
Action::shutdown(void)	.text	004C7E60	00000008			R	.	.	.	.	.	T	.
Action::terminate(void)	.text	004C7E70	00000010	00000004	00000000	R	.	.	.	.	.	T	.
std::_Tree<std::_Tmap_traits<uchar,DFCClass *,std::less<uchar>,std::allocator<std::pair<uchar const,DFCClass *>>,0>>::insert(std::pair<uchar const,DFCClass *> const &)	.text	004C7E80	0000009B	00000014	00000004	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<uchar,DFCClass *,std::less<uchar>,std::allocator<std::pair<uchar const,DFCClass *>>,0>>::erase(uchar const &)	.text	004C7F20	0000004E	0000001C	00000004	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<uchar,DFCClass *,std::less<uchar>,std::allocator<std::pair<uchar const,DFCClass *>>,0>>::find(uchar const &)	.text	004C7F70	00000055	00000010	00000000	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<DFCClass *,uchar,std::less<DFCClass *>,std::allocator<std::pair<DFCClass * const,uchar>>,0>>::erase(DFCClass * const &)	.text	004C7FD0	0000004E	0000001C	00000004	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<uchar,DFCClass *,std::less<uchar>,std::allocator<std::pair<uchar const,DFCClass *>>,0>>::erase(std::_Tree<std::_Tmap_traits<uchar,DFCClass *,std::less<uchar>,std::allocator<std::pair<uchar const,DFCClass *>>,0>>::iterator,std::_Tree<std::_Tmap_traits<uchar,DFCClass *,std::less<uchar>,std::allocator<std::pair<uchar const,DFCClass *>>,0>>::iterator)	.text	004C8020	000000B1	0000000C	0000000C	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<uchar,DFCClass *,std::less<uchar>,std::allocator<std::pair<uchar const,DFCClass *>>,0>>::equal_range(uchar const &)	.text	004C80E0	00000050	00000008	00000000	R	.	.	.	.	.	.	.
std::_Tree<std::_Tmap_traits<DFCClass *,uchar,std::less<DFCClass *>,std::allocator<std::pair<DFCClass * const,uchar>>,0>>::erase(std::_Tree<std::_Tmap_traits<DFCClass *,uchar,std::less<DFCClass *>,std::allocator<std::pair<DFCClass * const,uchar>>,0>>::iterator,std::_Tree<std::_Tmap_traits<DFCClass *,uchar,std::less<DFCClass *>,std::allocator<std::pair<DFCClass * const,uchar>>,0>>::iterator)	.text	004C8130	000000B1	0000000C	0000000C	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<int,int,std::less<int>,std::allocator<std::pair<int const,int>>,0>>::_Buynode(std::_Tree_nod<std::_Tmap_traits<int,int,std::less<int>,std::allocator<std::pair<int const,int>>,0>>::_Node *,std::_Tree_nod<std::_Tmap_traits<int,int,std::less<int>,std::allocator<std::pair<int const,int>>,0>>::_Node *,std::_Tree_nod<std::_Tmap_traits<int,int,std::less<int>,std::allocator<std::pair<int const,int>>,0>>::_Node *,std::pair<int const,int> const &,char)	.text	004C81F0	0000003B	00000004	0000000D	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<uchar,DFCClass *,std::less<uchar>,std::allocator<std::pair<uchar const,DFCClass *>>,0>>::_Erase(std::_Tree_nod<std::_Tmap_traits<uchar,DFCClass *,std::less<uchar>,std::allocator<std::pair<uchar const,DFCClass *>>,0>>::_Node *)	.text	004C8230	00000038	00000010	00000004	R	.	.	.	.	B	T	.
std::_Tree<std::_Tmap_traits<DFCClass *,uchar,std::less<DFCClass *>,std::allocator<std::pair<DFCClass * const,uchar>>,0>>::_Erase(std::_Tree_nod<std::_Tmap_traits<DFCClass *,uchar,std::less<DFCClass *>,std::allocator<std::pair<DFCClass * const,uchar>>,0>>::_Node *)	.text	004C8270	00000038	00000010	00000004	R	.	.	.	.	B	T	.
Manipulator::targetIsClear(WorldEntity *)	.text	004C82B0	00000005	00000000	00000000	R	.	.	.	.	.	T	.
Action::getClass(void)	.text	004C82C0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
createBehavior(void)	.text	004C82D0	0000006D	00000014	00000000	R	.	.	.	.	B	T	.
_register_class_Behavior::_register_class_Behavior(void)	.text	004C8330	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_reg_gc_class_Behavior::_reg_gc_class_Behavior(void)	.text	004C8470	0000018F	0000002C	00000004	R	.	.	.	.	B	T	.
Behavior::Behavior(void)	.text	004C85C0	00000078	00000014	00000004	R	.	.	.	.	B	T	.
Behavior::`scalar deleting destructor'(uint)	.text	004C8620	00000022	00000008	00000001	R	.	.	.	.	B	T	.
Behavior::~Behavior(void)	.text	004C8650	000000B5	0000001C	00000004	R	.	.	.	.	B	T	.
Behavior::doAction(AutoRef<Action>)	.text	004C86F0	0000013A	00000020	00000004	R	.	.	.	.	B	.	.
Behavior::queueAction(AutoRef<Action>)	.text	004C8810	0000013A	00000020	00000004	R	.	.	.	.	B	.	.
Behavior::doInterrupt(AutoRef<Action>)	.text	004C8930	0000013A	00000020	00000004	R	.	.	.	.	B	.	.
Behavior::clearAllActions(void)	.text	004C8A50	000000D9	0000001C	00000000	R	.	.	.	.	B	T	.
Behavior::terminateAllActions(void)	.text	004C8B10	000000D9	0000001C	00000000	R	.	.	.	.	B	T	.
Behavior::doActionLocal(AutoRef<Action>)	.text	004C8BD0	00000156	00000020	00000004	R	.	.	.	.	B	.	.
Behavior::queueActionLocal(AutoRef<Action>)	.text	004C8D10	00000118	00000024	00000004	R	.	.	.	.	B	.	.
Behavior::doInterruptLocal(AutoRef<Action>)	.text	004C8E10	000001E0	00000020	00000004	R	.	.	.	.	B	.	.
Behavior::clearAllActionsLocal(void)	.text	004C8FD0	00000060	0000000C	00000000	R	.	.	.	.	B	T	.
Behavior::terminateAllActionsLocal(void)	.text	004C9030	0000005A	0000000C	00000000	R	.	.	.	.	B	T	.
Behavior::update(void)	.text	004C9090	00000082	00000018	00000000	R	.	.	.	.	B	T	.
Behavior::processRequest(uchar,DFCMessage *,int)	.text	004C9100	00000074	00000004	00000008	R	.	.	.	.	B	T	.
Behavior::processUpdate(uchar,DFCMessage *)	.text	004C9190	0000020F	00000024	00000008	R	.	.	.	.	B	T	.
Behavior::writeInit(DFCMessage *)	.text	004C93A0	00000122	00000020	00000004	R	.	.	.	.	B	T	.
Behavior::readInit(DFCMessage *)	.text	004C94D0	000001C6	0000002C	00000004	R	.	.	.	.	B	T	.
Behavior::processInited(void)	.text	004C9680	00000026	00000008	00000000	R	.	.	.	.	.	T	.
Behavior::processRemoved(void)	.text	004C96B0	00000085	00000010	00000000	R	.	.	.	.	B	T	.
Behavior::processReset(void)	.text	004C9740	00000039	0000000C	00000000	R	.	.	.	.	.	T	.
Behavior::terminate(Action *)	.text	004C9780	000001C5	0000001C	00000004	R	.	.	.	.	B	T	.
Vector<AutoRef<Action>>::popFront(void)	.text	004C9920	000000E7	00000020	00000004	R	.	.	.	.	B	.	.
std::vector<AutoRef<DFCControl>>::_Insert_n(std::vector<AutoRef<DFCControl>>::iterator,uint,AutoRef<DFCControl> const &)	.text	004C99E0	000002BB	0000002C	00000010	R	.	.	.	.	B	.	.
std::_Uninit_copy<AutoRef<GroupClient::Member> *,AutoRef<GroupClient::Member> *,std::allocator<AutoRef<GroupClient::Member>>>(AutoRef<GroupClient::Member> *,AutoRef<GroupClient::Member> *,AutoRef<GroupClient::Member> *,std::allocator<AutoRef<GroupClient::Member>> &,std::_Nonscalar_ptr_iterator_tag)	.text	004C9C90	00000029	00000000	00000000	R	.	.	.	.	.	.	.
Behavior::getClass(void)	.text	004C9CC0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
createBehaviorDesc(void)	.text	004C9CD0	0000006A	00000018	00000000	R	.	.	.	.	B	T	.
_register_class_BehaviorDesc::_register_class_BehaviorDesc(void)	.text	004C9D30	00000160	00000024	00000004	R	.	.	.	.	B	T	.
